store_id,month,net_revenue,bills
S01,2024-01-01,4371424.37,1345
S02,2024-01-01,3315204.12,1079
S03,2024-01-01,4332236.6,1440
S04,2024-01-01,2865432.49,916
S05,2024-01-01,2323647.27,709
S06,2024-01-01,3901762.04,1296
S07,2024-01-01,2620851.37,867
S08,2024-01-01,2637970.96,848
S09,2024-01-01,1963723.67,657
S10,2024-01-01,4400597.13,1439
S11,2024-01-01,2440662.53,745
S12,2024-01-01,3272558.78,1094
S01,2024-02-01,3802842.23,1240
S02,2024-02-01,2990177.14,995
S03,2024-02-01,4228954.16,1335
S04,2024-02-01,2457922.67,809
S05,2024-02-01,2090021.88,682
S06,2024-02-01,3549624.07,1164
S07,2024-02-01,2249072.06,724
S08,2024-02-01,2405695.98,749
S09,2024-02-01,1878900.76,621
S10,2024-02-01,4080868.56,1303
S11,2024-02-01,2183091.62,694
S12,2024-02-01,2969914.42,974
S01,2024-03-01,4408976.65,1444
S02,2024-03-01,3680365.59,1195
S03,2024-03-01,4907538.8,1610
S04,2024-03-01,3259373.38,1068
S05,2024-03-01,2517068.94,809
S06,2024-03-01,4262091.73,1336
S07,2024-03-01,2825068.65,897
S08,2024-03-01,2751447.89,898
S09,2024-03-01,2363742.31,757
S10,2024-03-01,4791561.32,1534
S11,2024-03-01,2669840.27,854
S12,2024-03-01,3534573.56,1109
S01,2024-04-01,4199964.44,1311
S02,2024-04-01,3592952.59,1125
S03,2024-04-01,4355128.93,1420
S04,2024-04-01,2858197.32,928
S05,2024-04-01,2173059.89,686
S06,2024-04-01,3741880.74,1187
S07,2024-04-01,2598224.43,816
S08,2024-04-01,2520194.03,790
S09,2024-04-01,2113369.33,674
S10,2024-04-01,4151595.55,1377
S11,2024-04-01,2280326.82,746
S12,2024-04-01,3373563.3,1066
S01,2024-05-01,4603791.25,1431
S02,2024-05-01,3865654.75,1209
S03,2024-05-01,4832110.25,1560
S04,2024-05-01,3485957.93,1081
S05,2024-05-01,2309725.63,707
S06,2024-05-01,3995850.72,1290
S07,2024-05-01,2610082.1,883
S08,2024-05-01,2711168.57,854
S09,2024-05-01,2375456.95,725
S10,2024-05-01,4777388.14,1522
S11,2024-05-01,2647085.13,825
S12,2024-05-01,3550444.98,1135
S01,2024-06-01,4187784.29,1366
S02,2024-06-01,3503130.17,1121
S03,2024-06-01,4749422.88,1514
S04,2024-06-01,2990076.63,955
S05,2024-06-01,2145975.09,706
S06,2024-06-01,3844076.88,1254
S07,2024-06-01,2746206.8,857
S08,2024-06-01,2517093.92,819
S09,2024-06-01,1990387.42,621
S10,2024-06-01,4549125.86,1446
S11,2024-06-01,2402918.81,764
S12,2024-06-01,3360884.07,1106
S01,2024-07-01,4220062.05,1362
S02,2024-07-01,3793732.95,1122
S03,2024-07-01,4906519.77,1524
S04,2024-07-01,3243952.35,1021
S05,2024-07-01,2259562.78,718
S06,2024-07-01,3952329.22,1234
S07,2024-07-01,2651159.69,776
S08,2024-07-01,2777047.94,849
S09,2024-07-01,2184591.5,695
S10,2024-07-01,4331817.73,1379
S11,2024-07-01,2424478.29,780
S12,2024-07-01,3549905.84,1123
S01,2024-08-01,4892237.87,1556
S02,2024-08-01,4061188.48,1235
S03,2024-08-01,5394175.36,1646
S04,2024-08-01,3458479.99,1090
S05,2024-08-01,2531249.25,826
S06,2024-08-01,4574179.65,1420
S07,2024-08-01,3201302.7,995
S08,2024-08-01,3014216.66,927
S09,2024-08-01,2638726.74,804
S10,2024-08-01,4948978.96,1615
S11,2024-08-01,2915546.2,899
S12,2024-08-01,3621899.89,1176
S01,2024-09-01,4949514.86,1558
S02,2024-09-01,3980405.95,1227
S03,2024-09-01,5142686.78,1591
S04,2024-09-01,3359453.29,1071
S05,2024-09-01,2543677.14,783
S06,2024-09-01,4382435.29,1341
S07,2024-09-01,3079354.09,967
S08,2024-09-01,3146012.63,967
S09,2024-09-01,2335678.96,742
S10,2024-09-01,5079053.89,1553
S11,2024-09-01,2809311.05,850
S12,2024-09-01,3807453.53,1171
S01,2024-10-01,6435443.95,1963
S02,2024-10-01,5110182.71,1581
S03,2024-10-01,6525145.39,2048
S04,2024-10-01,4471770.07,1401
S05,2024-10-01,3192322.78,948
S06,2024-10-01,5682685.69,1816
S07,2024-10-01,4069433.83,1208
S08,2024-10-01,3445850.62,1123
S09,2024-10-01,2825005.39,887
S10,2024-10-01,6419282.87,1980
S11,2024-10-01,3412236.75,1058
S12,2024-10-01,4769835.87,1423
S01,2024-11-01,5412978.17,1672
S02,2024-11-01,4763032.85,1441
S03,2024-11-01,6206706.29,1930
S04,2024-11-01,4037408.47,1245
S05,2024-11-01,3043707.15,945
S06,2024-11-01,5441832.22,1663
S07,2024-11-01,3122942.34,989
S08,2024-11-01,3293794.09,1024
S09,2024-11-01,2764424.25,804
S10,2024-11-01,5998310.07,1871
S11,2024-11-01,3132433.6,1007
S12,2024-11-01,4366268.97,1385
S01,2024-12-01,5510179.01,1657
S02,2024-12-01,4538919.72,1368
S03,2024-12-01,6284269.25,1948
S04,2024-12-01,3713233.94,1172
S05,2024-12-01,3029019.74,912
S06,2024-12-01,5255554.45,1598
S07,2024-12-01,3445887.39,1062
S08,2024-12-01,3256668.14,991
S09,2024-12-01,2544988.49,796
S10,2024-12-01,5798461.9,1774
S11,2024-12-01,3111781.84,935
S12,2024-12-01,4256295.61,1312
