month,folder_revenue,revenue_inr,difference,classification,take_back_to_finance
2024-01,38446071.33,38446071.33,0.0,matches,38446071.33
2024-02,34887085.55,34887085.55,0.0,matches,34887085.55
2024-03,41971649.09,42457899.09,486250.0,definition: external institutional invoice,42457899.09
2024-04,37958457.37,37958457.37,0.0,matches,37958457.37
2024-05,41764716.4,41764716.4,0.0,matches,41764716.4
2024-06,38987082.82,38987082.82,0.0,matches,38987082.82
2024-07,40295160.11,40527291.81,232131.70000000298,source gap: missing S07 exports,40527291.81
2024-08,45252181.75,45252181.75,0.0,matches,45252181.75
2024-09,44615037.46,44615037.46,0.0,matches,44615037.46
2024-10,56359195.92,56359195.92,0.0,matches,56359195.92
2024-11,51583838.47,51583838.47,0.0,matches,51583838.47
2024-12,50745259.48,50745209.0,-50.479999996721745,definition: finance rounds each bill,50745209.0
