resend,status,original_rows,resend_rows,shared_keys,resend_only_keys,original_only_keys,original_duplicate_key_rows,resend_duplicate_key_rows,payload_conflicting_columns
SALES_S01_20240702__R1.csv,OK,190,190,190,0,0,0,0,0
SALES_S01_20240914__R1.csv,OK,432,432,432,0,0,0,0,0
SALES_S01_20241112__R1.csv,OK,263,150,150,0,113,0,0,0
SALES_S01_20241217__R1.csv,OK,247,247,247,0,0,0,0,0
SALES_S02_20240317__R1.csv,OK,330,330,330,0,0,0,0,0
SALES_S02_20240517__R1.csv,OK,295,295,295,0,0,0,0,0
SALES_S02_20240822__R1.csv,OK,223,223,223,0,0,0,0,0
SALES_S02_20240822__R2.csv,OK,223,223,223,0,0,0,0,0
SALES_S02_20241013__R1.csv,OK,409,409,409,0,0,0,0,0
SALES_S02_20241130__R1.csv,OK,316,180,180,0,136,0,0,0
SALES_S03_20240705__R1.csv,OK,396,396,396,0,0,0,0,0
SALES_S03_20240705__R2.csv,OK,396,396,396,0,0,0,0,0
SALES_S03_20241104__R1.csv,OK,364,364,364,0,0,0,0,0
SALES_S03_20241104__R2.csv,OK,364,364,364,0,0,0,0,0
SALES_S03_20241118__R1.csv,OK,356,198,198,0,158,0,0,0
SALES_S04_20240219__R1.csv,OK,95,95,95,0,0,0,0,0
SALES_S04_20240219__R2.csv,OK,95,95,95,0,0,0,0,0
SALES_S04_20240401__R1.csv,OK,153,153,153,0,0,0,0,0
SALES_S04_20240417__R1.csv,OK,134,134,134,0,0,0,0,0
SALES_S04_20240604__R1.csv,OK,163,163,163,0,0,0,0,0
SALES_S04_20240617__R1.csv,OK,195,195,195,0,0,0,0,0
SALES_S04_20240617__R2.csv,OK,195,195,195,0,0,0,0,0
SALES_S04_20240905__R1.csv,OK,157,157,157,0,0,0,0,0
SALES_S04_20240905__R2.csv,OK,157,157,157,0,0,0,0,0
SALES_S04_20241106__R1.csv,OK,255,255,255,0,0,0,0,0
SALES_S04_20241106__R2.csv,OK,255,255,255,0,0,0,0,0
SALES_S04_20241221__R1.csv,OK,406,406,406,0,0,0,0,0
SALES_S05_20240201__R1.csv,OK,129,129,129,0,0,0,0,0
SALES_S05_20240924__R1.csv,OK,118,118,118,0,0,0,0,0
SALES_S05_20241029__R1.csv,OK,238,238,238,0,0,0,0,0
SALES_S06_20240124__R1.csv,OK,266,266,266,0,0,0,0,0
SALES_S06_20240818__R1.csv,OK,372,372,372,0,0,0,0,0
SALES_S06_20241108__R1.csv,OK,414,221,221,0,193,0,0,0
SALES_S06_20241117__R1.csv,OK,488,258,258,0,230,0,0,0
SALES_S06_20241221__R1.csv,OK,484,484,484,0,0,0,0,0
SALES_S06_20241221__R2.csv,OK,484,484,484,0,0,0,0,0
SALES_S07_20240427__R1.csv,OK,256,256,256,0,0,0,0,0
SALES_S07_20240513__R1.csv,OK,103,103,103,0,0,0,0,0
SALES_S07_20240522__R1.csv,OK,144,144,144,0,0,0,0,0
SALES_S07_20240522__R2.csv,OK,144,144,144,0,0,0,0,0
SALES_S07_20240713__R1.csv,OK,268,268,268,0,0,0,0,0
SALES_S07_20240907__R1.csv,OK,309,309,309,0,0,0,0,0
SALES_S07_20241117__R1.csv,OK,317,165,165,0,152,0,0,0
SALES_S08_20240813__R1.csv,OK,184,184,184,0,0,0,0,0
SALES_S08_20241204__R1.csv,OK,164,164,164,0,0,0,0,0
SALES_S09_20240111__R1.csv,OK,201,201,201,0,0,0,0,0
SALES_S09_20240123__R1.csv,OK,139,139,139,0,0,0,0,0
SALES_S09_20240123__R2.csv,OK,139,139,139,0,0,0,0,0
SALES_S09_20240515__R1.csv,OK,149,149,149,0,0,0,0,0
SALES_S09_20240725__R1.csv,OK,139,139,139,0,0,0,0,0
SALES_S09_20241011__R1.csv,OK,259,259,259,0,0,0,0,0
SALES_S09_20241129__R1.csv,OK,185,185,185,0,0,0,0,0
SALES_S09_20241129__R2.csv,OK,185,185,185,0,0,0,0,0
SALES_S10_20240519__R1.csv,OK,382,382,382,0,0,0,0,0
SALES_S10_20240614__R1.csv,OK,344,344,344,0,0,0,0,0
SALES_S10_20240731__R1.csv,OK,235,235,235,0,0,0,0,0
SALES_S10_20240731__R2.csv,OK,235,235,235,0,0,0,0,0
SALES_S10_20240806__R1.csv,OK,251,251,251,0,0,0,0,0
SALES_S10_20241108__R1.csv,OK,426,227,227,0,199,0,0,0
SALES_S10_20241122__R1.csv,OK,488,488,488,0,0,0,0,0
SALES_S10_20241122__R2.csv,OK,488,488,488,0,0,0,0,0
SALES_S11_20240314__R1.csv,OK,182,182,182,0,0,0,0,0
SALES_S12_20240206__R1.csv,OK,308,308,308,0,0,0,0,0
SALES_S12_20240228__R1.csv,OK,141,141,141,0,0,0,0,0
SALES_S12_20241108__R1.csv,OK,312,312,312,0,0,0,0,0
SALES_S12_20241108__R2.csv,OK,312,312,312,0,0,0,0,0
SALES_S12_20241114__R1.csv,OK,239,138,138,0,101,0,0,0
SALES_S12_20241115__R1.csv,OK,258,258,258,0,0,0,0,0
